PARTY,MCSPAN,MCXTENDER,MCXADDLMRG,MCXSPLMRG
BD26958        ,398886,0,0,0
BD16287        ,525000,0,0,0
ST00191        ,330187.50,0,0,0
SM40325        ,179643,0,0,0
SM36373        ,117287.50,0,0,0
ST05749        ,215530,0,71988,0
ST12660        ,1514823,0,0,0
ST00611        ,85000,0,0,0
BD10181        ,262500,0,0,0
SM69974        ,11748,0,0,0
SM75123        ,5874,0,0,0
SM86521        ,2467,0,822.86,0
ST07546        ,5874,0,0,0
BD08827        ,30950,0,10336,0
SM09704        ,29370,0,0,0
SM77294        ,11748,0,0,0
BD04098        ,5874,0,0,0
BD08694        ,30916,0,0,0
SM07733        ,5874,0,0,0
SM08976        ,5874,0,0,0
SM71591        ,41118,0,0,0
ST00574        ,260625,0,0,0
ST03721        ,11748,0,0,0
BD00537        ,5874,0,0,0
BD11018        ,30872,0,0,0
SM37403        ,58740,0,0,0
SM38412        ,29325,0,0,0
ST06061        ,17622,0,0,0
BD16314        ,29370,0,0,0
BD17798        ,500300,0,0,0
BD11716        ,165200,0,0,0
ST02765        ,5874,0,0,0
ST06182        ,11748,0,0,0
ST07037        ,165200,0,0,0
ST11297        ,117300,0,0,0
BD14039        ,30790,0,10284,0
BD26847        ,5976,0,0,0
SM15270        ,11748,0,0,0
SM20309        ,58740,0,0,0
ST03014        ,26394.75,0,0,0
SM34421        ,613465,0,0,0
BD26893        ,87975,0,0,0
SM43767        ,30950,0,10336,0
SM67840        ,452500,0,0,0
SM84607        ,5874,0,0,0
ST01558        ,30890,0,10304,0
SM09686        ,88110,0,0,0
SM44246        ,5976,0,0,0
SM45205        ,35184,0,0,0
ST05738        ,17622,0,0,0
BD16946        ,525000,0,0,0
ST00598        ,40236,0,0,0
BD34921        ,262500,0,0,0
ST00292        ,34849.40,0,0,0
SM35357        ,5874,0,0,0
