PARTY,UCC,SYMBOL,SETCOD,TYP,TOTSALE,DELVSALE,EPI,SALEPENDING,TOTBUY,DELVBUY,SALEVAL,BUYVAL,NETVAL,AVGRATE,NATURE,MINMARGIN
CAA0230,CS786,SPTL,N2022147  ,EQ,0,0,0,0,500,500,0,2125,-2125,4.25,R,425
CAA0278,CAA0278,JSWISPL,N2022148  ,EQ,0,0,0,0,100,100,0,2875,-2875,28.75,R,575
CAA0278,CAA0278,GRAPHITE,N2022148  ,EQ,5,5,0,5,0,0,2182,0,2182,436.40,R,436.40
CAA0302,CAA0302,JSWSTEEL,N2022147  ,EQ,200,100,100,0,100,0,130512.8,65850,64662.80,0,R,0
CAA0302,CAA0302,NTPC,N2022147  ,EQ,300,300,300,0,0,0,47850,0,47850,0,R,0
CAA0302,CAA0302,CHAMBLFERT,N2022147  ,EQ,100,0,0,0,300,200,32020,97602.7,-65582.70,327.91,R,13116.54
CAA0302,CAA0302,TEJASNET,N2022147  ,EQ,0,0,0,0,200,200,0,99619.95,-99619.95,498.10,R,19923.99
CAA0302,CAA0302,POWERGRID,N2022147  ,EQ,200,200,200,0,0,0,44700,0,44700,0,R,0
CAA0302,CAA0302,GRANULES,N2022147  ,EQ,100,0,0,0,200,100,31440,63740,-32300,323,R,6460
CAA0315,CAA0315,ABB,N2022147  ,EQ,0,0,0,0,25,25,0,67245,-67245,2689.80,R,13449
CAA0370,CAA0370,CUMMINSIND,N2022147  ,EQ,0,0,0,0,2,2,0,2363.9,-2363.90,1181.95,R,472.78
CAA0378,CAA0378,NAZARA,N2022147  ,EQ,0,0,0,0,10,10,0,6830.45,-6830.45,683.05,R,1366.09
CAA0399,CAA0399,GREENPANEL,N2022147  ,EQ,0,0,0,0,5,5,0,2243.75,-2243.75,448.75,R,448.75
CAA0399,CAA0399,DIVISLAB,N2022147  ,EQ,0,0,0,0,2,2,0,7600.7,-7600.70,3800.35,R,1520.14
CAA0399,CAA0399,DEEPAKNTR,N2022147  ,EQ,5,5,5,0,0,0,9803.45,0,9803.45,0,R,0
CAA0399,CAA0399,EASEMYTRIP,N2022147  ,EQ,0,0,0,0,40,40,0,15221.5,-15221.50,380.54,R,3044.30
