Date,CM Code,CM Name,CP Code,TM Code,TM Name,End Client,Allocation at BOD,Allocations during the Day,Deallocation during the Day,Allocation at EOD,OWN Collateral at BOD,OWN Collateral added during Day,OWN Collateral reduced during Day,OWN Collateral at EOD,OWN Others Collateral at BOD,OWN Others Collateral added during Day,OWN Others Collateral reduced during Day,OWN Others Collateral at EOD,Total Collateral at EOD,Eligible Collateral at EOD,Margin Utilisation
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CMMK           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124542.39
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CAD3813        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477712.75
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CAD4229        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583722
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CAD2984        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65479.13
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CIZ0054        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19664.59
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CEC0004        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47705.20
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CAD3116        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,841404.07
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CAD4449        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1469765.63
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CAD2595        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017970
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CAD2645        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47705.20
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CJT0040        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13109.73
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CAD3995        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163732.56
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CAD3997        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10858.11
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CAD3998        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10858.11
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CAD3464        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1893.63
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CAD1325        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128149.96
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CAD2094        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39329.18
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CAD4117        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4639800.04
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CAD4135        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.86
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CEI0079        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54725.95
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CDB0445        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226886.25
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CEA0074        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20033.40
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CAD4155        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140519.71
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CAD3754        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4560.66
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CAD3841        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194574
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CAD3881        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32739.56
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CAD3883        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13109.73
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DDV0195        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20033.40
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CPZ0036        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39329.18
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CLI0025        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56990.57
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CRJ0397        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116783.45
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DDV0282        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6677.80
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DDV0374        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.86
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CRY0189        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.86
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CRY0214        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510671.88
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CRY0230        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98322.94
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CRY0234        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19664.59
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CNJ0007        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91768.08
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CRY0257        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65479.13
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CRY0267        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19664.59
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CRY0272        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39329.18
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CRY0274        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.86
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CRY0276        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19664.59
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CRY0286        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.86
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CTT0026        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32739.56
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CKT0083        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143115.60
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CKT0093        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241897.72
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CRY0299        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13109.73
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CRY0303        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32774.31
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CRY0304        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.86
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CVA1085        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32774.31
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CRY0306        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26219.45
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CRY0317        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.86
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CRY0319        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.86
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CAD2548        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.86
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CAD2561        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1433138.25
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DDV0020        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45884.04
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DQY0160        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131097.25
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CVQ0081        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32739.56
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EAC0002        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33902.42
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DNE0002        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194574
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DKX0034        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629784.69
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EIZ0003        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170971.62
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EIZ0004        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1107851.43
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EIZ0006        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340270.75
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EIZ0007        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87715.69
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EIZ0012        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.86
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EAC0009        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.86
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CXU0018        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45884.04
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DKX0095        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123299.73
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DJO1936        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130958.25
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EMX0031        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141909.30
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EMX0040        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32739.56
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EIZ0014        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162394.15
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EIZ0015        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66778
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EJD0002        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.86
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,ENB0002        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13109.73
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EJH0003        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.86
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EJH0057        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.86
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,11155          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.86
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,ECY0032        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147562.50
